,id,comment,class
21,21,"Excelente claro, para mim foi muito gratificante e os termos utilizados e as ferramentas dadas foram excelentes, e hoje, e eu coloquei em uso no meu trabalho, Obrigado por inculcar conhecimentos e seguir em frente",2
22,22,"Excelente ... É uma representação do nosso dia a dia, obrigado por compartilhar sua visão, experiência e conselhos ... RegardsDaniel Damas",2
23,23,Muito interessante e bem concebido MOOC!,2
24,24,Excelente campo! Totalmente recomendado!,2
25,25,Grande informações sobre o curso e conteúdo! Muito interessante ! Infelizmente não há um par atribuição graduada que 3 colegas grau obrigação. Embora dois dos meus colegas me deu todos os graus passar um colega me deu todos os 0 e realmente não justificar o porquê; o que me fez ter que re enviar minha atribuição. Felizmente 3 outros colegas surpreendentes viu a qualidade do meu trabalho :),2
26,26,curso muito interessante. Eu aprendi muito sobre a história da educação aborígene.,2
27,27,Grande conteúdo! Aprendeu muito.,2
28,28,"Este tem sido um curso fenomenal da educação e visões de mundo das pessoas das Primeiras Nações. Como educador na comunidade da Primeira Nação no norte de Ontário, o conhecimento nas palestras tem sido fenomenal.",2
29,29,Eu encontrei este curso foi muito interessante e uma grande ferramenta de aprendizagem e eu estou feliz que eu recomendo este curso para as pessoas Ni: Awen,2
30,30,"conteúdos com ilustrações abrangentes bem apresentados e fácil de seguir, a cobertura na ordem correta todos os aspectos do desenho e AutoCAD. Gostaria que o subtítulo Inglês está disponível em todo o curso, para que mais alunos pudessem aceder a estas palestras úteis e exercícios.",2
31,31,"naturalmente, muito básico para os alunos sem experiência AutoCAD.",2
32,32,Boa qualidade.,2
33,33,Obrigado.,2
34,34,Curso é abrangente e detalhado. Mas é um pouco rápido para as pessoas novo para ele Finanças,2
35,35,Um muito grande curso para todos pessoa de TI,2
36,36,Eu acho que deveria ser um curso mais engajados com exemplos práticos,2
37,37,Excelente visão geral das maneiras em que a impressão 3D está em uso e como ele pode ser usado no futuro.,2
38,38,course.Assignments muito bem documentados são projetados de tal forma que estimula você a pensar fora da caixa.,2
39,39,Muito boa Informativo Course. !!,2
40,40,Excelente curso. Eu gostei completamente. Obrigado Vishal e equipe.,2
41,41,Ele abriu o meu entendimento do que poderia ser feito com impressão 3D,2
42,42,"Informações importantes sobre os direitos de cópia, patentes, etc.",2
43,43,"Progresso está em um estado de fluxo, por isso deve chegar ao melhor na academia em qualquer assunto em particular para obter uma atualização realista da tecnologia. Este curso irá ajudá-lo a recuperar o atraso para projetar pensando e fazendo. Obtê-lo e fazê-lo.",2
44,44,"Um realmente desafiador e enriquecendo curso sobre o fantástico mundo de impressão 3D. Neste curso, você vai descobrir a quantidade inimaginável de aplicações que oferece impressão 3D e vai abrir sua mente de uma maneira que não achava possível!",2
45,45,"Este é realmente um bom classe pesquisa no potencial da impressão em 3D, com exemplos de como os indivíduos podem-se e outros capacitar sem os obstáculos de ferramentas tradicional, com uma curva de aprendizado relativamente curta e baixo investimento. Ele também demonstra as maneiras em que, agora e cada vez mais no futuro, todos nós vamos ser capazes de projetar as soluções para nossos próprios problemas com o aumento da agilidade! A única coisa que poderia torná-lo melhor seria ter mais desafios de design! Graças !",2
46,46,"Excelente campo, aprendizagem apreciado :)",2
47,47,Ótimo curso e muito informativo.,2
48,48,"Vou começar por dizer que este curso dá uma boa perspectiva em uma ampla variedade de aplicações de impressão 3D. Há lotes de entrevistas com pessoas que têm ou estão aproveitando fabricação aditivo de maneiras originais e eficazes. A última semana do curso também introduz um quadro interessante e aparentemente eficaz para o projeto thinking.The razão que eu só classificado como 3 estrelas, porém, é que a única coisa útil que você aprender neste curso é o quadro de design pensamento. Eu acho que seria melhor se esses vídeos foram espalhados por todo o resto da especialização. Eu vejo valor em incluir este material na especialização, mas não como um outright curso.",1
49,49,"Este curso não contém nenhuma informação nova. Ele não ensina, mas mostra apenas excitedly comumente conhecidos facts.There são melhores maneiras de investir o seu tempo.",0
50,50,Ótimo curso. Eu gostava de aprender o material.,2
51,51,"Excelente curso. Boas aulas, fácil de seguir, o conteúdo atualizado, vídeos de alta qualidade.",2
52,52,Ele deve ser mesclado com curso 1,1
53,53,"naturalmente, muito nutritivo com exemplos do mundo real que permitem compreender o potencial da impressão 3D como uma tecnologia emergente.",2
54,54,muito interessante,2
55,55,"Tópicos relacionados com a economia ou de negócios não são algo que eu sou bom em ou gostam de ler sobre, este curso me ajudou a aprender um monte de coisas úteis que de outra forma não colocar esforço em estudar.",2
56,56,"Eu era capaz de compreender materiais e dispositivos utilizados na impressão em 3D, aspectos de impressoras 3D de software e obter uma visão introdutória sobre aplicações de ponta, como a impressão 3D em aplicações biomédicas",2
57,57,"Este curso é muito interessante, esclarecedor e uma introdução maravilhosa especialmente para alunos com nenhuma experiência prévia com a impressão 3D.",2
58,58,Muita informação e vídeos. Pronto para o próximo step.Gus,2
59,59,"Se você estiver interessado em ter uma visão mais profunda da tecnologia de impressão 3D, eu recomendo este curso. Não há pré-requisitos, tudo que você precisa é o desejo de aprender. Este curso irá apresentar-lhe os diferentes 3D métodos de fabricação, e apresentar a você para 3D impressão empresas que estão atualmente ativamente. Se você quiser passa para o campo de impressão em 3D, eu acredito que este curso é um bom começo.",2
60,60,Os indivíduos completos língua,1
61,61,Deve ser menos repetitivo e cheio de informações úteis sobre aplicações.,1
62,62,Muito bons exemplos inspiradores.,2
63,63,Ótimo curso. É fornecido um grande grau de conhecimento sobre as aplicações e o processo de design.,2
64,64,poderia facilmente ser comprimida em uma duas semanas course.Sometimes entrevistas são demasiado longos para o que eles precisam explicar.,1
65,65,boa introdução para as aplicações de impressão 3D.,1
66,66,boa visão geral que você pode fazer com este incrível tecnologia.,2
67,67,Esta sessão foi muito longo e um pouco chato. Poderia ser mais curto com os conteúdos relacionados.,1
68,68,exemplos exemplares de como 3d impressão pode ser aplicada a problemas do mundo real.,2
69,69,"Grande conteúdo, eu ainda preciso passar por isso para recolher a riqueza de informações que foram reunidas aqui.",2
70,70,"Embora haja algum conteúdo interessante, particuarly na última semana no pensamento de design, alguns dos tópicos do curso não parecem segurar bem juntos, e os vídeos incluem um monte de cabeças falantes monótonas. Enquanto isso transmite a vantagem de ser capaz de ouvir alguns dos vídeos sem consistentemente assistindo, as perguntas da entrevista feitas de alto-falantes são, por vezes, impresso na tela e não pediu verbalmente. Se você não está vendo, você perca as perguntas. Eu gostaria de ver este curso reorientada para o pensamento de design para impressão em 3D, com outras aplicações intercaladas como exemplos em vez de constituir a parte do leão do curso. Eu acredito que o formato ambos seriam mais envolvente e fazer um trabalho melhor de entregar habilidades com mais oportunidades para a prática.",0
71,71,"Eu não acho muito interessante este curso. muitas entrevistas. Poderia obras para o primeiro curso, mas não para a segunda. Eu estava esperando para ter mais material técnico e lições.",0
72,72,"olhar muito bom em profundidade as aplicações potenciais para a impressão 3D. Eu gostei especialmente as seções sobre desenvolvimento e educação. Esta classe faz você pensar sobre os potenciais ramificações de impressão 3D e como ele pode mudar a economia, tanto local como globalmente.",2
73,73,"Um bom curso para ver os vários aspectos da impressão 3D do mercado e sem fins lucrativos. Monte de exemplos e iniciativas, uma",2
74,74,"Excelente campo, poderia fazer com um pouco mais referências visuais. Algumas das palestras são um pouco difícil de se passar desde que você está assistindo a 2 pessoas. Conteúdo ainda muito valioso.",2
75,75,"Um curso muito completo, muito interessante!",2
76,76,Grande revisão do que pode ser conseguido através de impressão 3D.,2
77,77,Grande classe!,2
78,78,"Super! Eu não esperava que o nível de envolvimento necessário para completar o curso e foi uma surpresa muito agradável! Ser um leigo na revolução de impressão 3D, este curso realmente ampliou meus pontos de vista sobre a impressão 3D.",2
79,79,Um monte de falar sem qualquer sentido. Ignorá-lo a todo o custo,0
80,80,"Este é um curso muito básico na tecnologia de impressão 3D, mas cada aspecto da tecnologia é artisticamente explicou. Todos os vários pontos de vista são considerados e uma ideia de 360 ​​graus é passada para o students.By fazer este curso, os alunos que estão contemplando sobre o seu envolvimento nesta tecnologia revolucionária será capaz de finalmente decidir o seu futuro curso de ação, que eu acreditam que será positive.In suma, este curso irá fornecer-lhe uma base enquanto os outros cursos, acho que (como eu não assumiram o resto dos cursos até agora, mas eu pretendo) irá adicionar valor suficiente para o seu conhecimento. Saudações.",2
81,81,Ótimo curso! Obrigado!,2
82,82,"Muito útil vídeos que realmente leva você para o mundo real da impressão 3D. As entrevistas com os representantes de várias indústrias neste curso me ajudou a entender a importância da impressão 3D fabricação / aditivo como uma ferramenta conveniente, e também onde procurar recursos relacionados.",2
83,83,Excelente introdução! Os vídeos eram fantásticas e instrutores muito envolvente.,2
84,84,Excelentemente enquadrado curso,2
85,85,"I como o fato de que tantos líderes de impressão 3D veio de diversas origens. E eles compartilham um espírito infeccioso de aprender e empurrando os limites de software, hardware e ciência dos materiais.",2
86,86,Excelente visão geral e introdução à impressão 3D,2
87,87,"Tão bom! Se você quiser visão geral da situação atual da tecnologia de impressão 3D e desenvolver para que os negócios na impressão em 3D, você tem que assistir a este",2
88,88,Eu pensei que este era um grande alto nível de introdução ao mundo da impressão 3D.,2
89,89,Got novas perspectivas e visão da tecnologia de impressão 3D,2
90,90,"Este foi um grande curso, grande implantação e motivação foi fornecido que aumentou definitivamente o meu entusiasmo e estou realmente ansioso para outros cursos para aumentar minhas habilidades.",2
91,91,"Excelente curso. Muito bem apresentado. I apreciado não apenas as sessões de instrução, mas também as entrevistas com outros especialistas nesta área fascinante. Um grande campo para inspirar um para continuar a perseguir isso como uma carreira.",2
92,92,Muito informativo um curso acessível. Eu realmente gosto da maneira Aric apresenta a informação. Estou animado para completar o resto da Especialização.,2
93,93,boa introdução !!!,2
94,94,O melhor curso para iniciantes.,2
95,95,Agradecimentos para o curso! Ele me abriu para o mundo da impressão 3D - quando isso começou e onde está agora. :),2
96,96,Este foi um grande claro! Aric Rindfleisch incentiva entusiasmo sobre esta nova revolução techology. Deu-me os princípios fundamentais sobre o assunto. Além disso agora eu estou mais interessado em impressão 3D do que eu era antes de iniciar o curso. Eu certamente seguir os seguintes cursos da Universidade de Illinois em impressão 3D!,2
97,97,"Excelente introdução à impressão 3D e as muitas, muitas maneiras que podem ser usados.",2
98,98,Boa experiência para começar,2
99,99,Dá um bom sobre a vista sobre o que é a impressão 3D.,2
100,100,Este curso me mudar os pontos de vista sobre a impressão 3D e sua revolução.,2
101,101,Tem uma grande visão para a impressão 3D.,2
102,102,Excelente! Muita informação e entrevistas muito interessantes. Além disso Aric Rindfleisch é extremamente clara nas palestras. Parabéns.,2
103,103,"Uau ! Aprender é tão fácil aqui, trazer sua inovação à realidade, por favor se juntar a este curso, Altamente recomendado !!!!",2
104,104,"Esta é uma ótima introdução para a impressão 3D. Abrange os conceitos básicos de diferentes tecnologias de impressão 3D, a partir do desktop para hardware industrial. Ele mostra os recursos e serviços disponíveis para utilizar a impressão 3D de forma eficaz. Ele fornece entrevistas com empresários e outros na indústria que estão utilizando esta tecnologia.",2
105,105,"Este curso não contém nenhuma informação nova. Ele não ensina, mas mostra apenas excitedly comumente conhecidos facts.There são melhores maneiras de investir o seu tempo.",0
106,106,"Fred J FeilerNov 20, 05:49 PSTChat começou: 2016/11/20 01:37 UTC (01:37:50) Fred J Feiler: Precisamos de uma data de início para 3D Software de impressão de curso. Os alunos estão preocupados que este curso nunca vai acontecer até mesmo para aqueles que foram inscritos desde junho de 2016. (01:38:52) Apoio Coursera: Agradecemos seu contato com a gente! Alguém vai estar bem com você (01:39:38) *** Jessy juntou-se ao bate-papo *** (01:39:54) Jessy:. Agradecemos seu contato para nós. Eu ficaria mais que feliz em ajudá-lo hoje (01:40:29) Jessy:. Sinto muito pela inconveniência (01:40:40) Jessy:. Por favor, permita-me um momento, enquanto eu dar uma olhada para este para você Fred (01:40:59) Fred J Feiler:. Graças (01:44:54) Fred J Feiler: eu me matriculei na especialização de cinco pratos. Meu impulso está em uma paralisação por isso, se este curso está atrasado eu vou procurar algo melhor (01:46:05) Jessy:. Sinto muito pela inconveniência Fred, eu verificados e que naturalmente não tem sessões disponíveis ainda . (01:46:16) Jessy: parece que vamos precisar de algum tempo para olhar para esta questão. Vou escalar isto com os nossos especialistas de suporte para que eles possam continuar a investigar. Isso significa que eu vou estar terminando este bate-papo e ele se tornará um email ticket de suporte. Você receberá uma transcrição de e-mail do nosso bate-papo para seus registros, e alguém da nossa equipe de suporte irá rever nosso chat e e-mail com atualizações o mais rápido possível (13:47:18) Fred J Feiler:. OK, obrigado!",2
107,107,Excelente introdução de impressão 3D. O curso é bem desenhado e envolvente. Ansioso para os outros cursos da série.,2
108,108,"Este curso foi fantástico, eu aprendi muito com ele, e eu estou tão animado para continuar esta faixa!",2
109,109,Ótimo curso. Mal posso esperar para a próxima começar,2
110,110,Não de acordo com o que eu esperava,1
111,111,2 polegares aprendi algo que eu nunca ter aprendido antes.,2
112,112,Ótimo curso para começar com a tecnologia de impressão 3D.,2
113,113,Ótima introdução ao mundo a impressão 3D,2
114,114,um muito bom curso introdutório. como um novato na impressão 3d que me ajudou muito a compreensão dos conceitos básicos de impressão 3D.,2
115,115,"Bom lugar para começar, se você não sabe nada sobre a impressão 3D.",2
116,116,Muito completo e extensive.The semanas realmente levar semanas para completar!,2
117,117,Muito obrigado!,2
118,118,"Excelente informações abrangidas, muito compreensível com exemplos práticos e excelentes professores.",2
119,119,curso muito interessante!,2
120,120,Uma introdução muito abrangente e total a conceitos básicos de impressão 3D,2
121,121,"Excelente campo, realmente ansioso para o resto da especialização!",2
122,122,excelente introdução na ideia de impressão 3D e uso,2
123,123,"Eu realmente gostei O curso 3D Revolução Printing. É fácil de entender, você não precisa de nenhum conhecimento de fundo, mas você vai descobrir muito sobre este tópico - incluindo materiais que são usados, as tecnologias, as empresas de impressão 3D ... Além disso, se os materiais abordam a história eo futuro do 3D impressão. É um grande curso introdutório eo instrutor (e as pessoas) são surpreendentes. Eu recomendo!",2
124,124,Nice introdução 3D para iniciantes. Muito entrevistas interessantes empresários.,2
125,125,Ótimo curso! Os fundamentos foram cobertos e estou animado para dar o próximo curso.,2
126,126,"É principalmente uma coisa muito básica, mas mesmo assim ele me apresentou a conceitos que eu não estava ciente.",2
127,127,"Grandes agradecimentos para Dr.aric, que tem um rosto sorridente, se alguém inscritos neste curso, ele iria receber um grande conhecimento e informações úteis sobre a impressão 3D ou fabricação addtive, jogar um simples e emocionantes vídeos, não só isso, você obteria outros benefícios não só informação sobre priting 3d, como, obter conhecimento de muitas empresas de dentro, ver histórias de pessoas bem sucedido que alcança-lo a manter-se com o seu trabalho, reunir-se com seus colegas e fazer novos amigos e, finalmente, crescer o seu Inglês habilidades, como ouvir e crescer o seu vocabulário ..... great thaks para a equipe Coursera, é o nosso prazer de aprender com você ........",2
128,128,Muito boa introdução sobre a impressão 3D! Eu amo isso!,2
129,129,"Bom curso introdutório, apenas um pouco curta para minha like.Gus",2
130,130,Eu não posso simplesmente não taxa isto como eu realmente gostei ao máximo,2
131,131,"Ótimo curso. Um imperativo para cada indivíduo que tem alguma idéia sobre isso e mesmo se você não fizer isso, Aric e sua equipe irá guiá-lo ao longo desta técnica maravilhosa.",2
132,132,grande curso para aprender sobre a impressão 3D e ver onde a tecnologia tem chegado a. Eu vou estar perseguindo o resto desta pedra angular.,2
133,133,"Não hesite em se inscrever, é um curso de brain storming & I como o caminho do ensino aqui!",2
134,134,Grande entrega do curso pelo instrutor! Grande oportunidade de conhecer pessoas fantásticas! Para mim foi como uma viagem real! O curso me deu uma compreensão clara do 3D impressão em alto nível. Ansioso para entrar em conhecimento -depth de novos cursos! Eu recomendo este curso para aqueles que desejam saber sobre a impressão 3D!,2
135,135,"Ele fornece não só uma boa visão geral sobre a impressão 3D, mas estimula as pessoas que frequentam a procurar mais. Ótimo curso para iniciar o journe",2
136,136,"Grande que dar a confiança necessária para desencadear a minha criatividade. E agora eu ver o mundo com olhos diferentes, com grandes oportunidades para criar ou objetos personaliza em 3D.",2
137,137,Um bom curso de iniciação em impressão 3D para todos em todos os níveis.,2
138,138,"Alucinante, é claro!",2
139,139,ótima introdução,2
140,140,Eu gosto do curso. conciso bonito e para a frente. Altamente recomendado.,2
141,141,Olho e claro mente abertura.,2
142,142,boa introdução para a impressão 3D,1
143,143,"Muito boa introdução ao tema, instrutor nunca perde a atenção com novos temas e exemplos.",2
144,144,"Ótima introdução, mesmo para pessoas que não vão perseguir a conclusão da especialização completo.",2
145,145,introdução perfeita ao mundo a impressão 3D!,2
146,146,"Surpreendente! Muito interativo, envolvente e abrangente.",2
147,147,Excelente apresentação a impressão 3D.,2
148,148,"Grande conteúdo, os vídeos e as conversas estão muito motivador e eles dão uma visão geral emocionante do assunto. Agradecimentos para a grande obra.",2
149,149,Grande classe!,2
150,150,muito interativo e naturalmente reflexiva altamente recomendado.,2
151,151,uma visão muito boa que faz você por muito tempo para,2
152,152,"Se você sabe pouco ou nada sobre aditivo, e soa interessante, este é um bom lugar para começar!",2
153,153,"Um excelente campo para começar, se você é completamente novo para a impressão 3D. Fácil de entender a linguagem, muito pouco especial tech-talk, por isso o curso é adequado para qualquer pessoa virtualmente. t é verdade que você não precisa ser um gênio técnico para se acquanted com o mundo da impressão 3D!",2
154,154,"Um bom curso, forneça mais prática questionário em profundidade.",2
155,155,Simplesmente muito interessante.,2
156,156,É uma introdução agradável breve sobre a tecnologia 3-D de impressão.,2
157,157,Muito bom e útil introdução para Impressão 3D,2
158,158,Grande classe!,2
159,159,é um muito bom um fácil de compreender primeira imersão no mundo da impressão 3D,2
160,160,"Era exatamente como o professor disse que seria like.The única parte difícil é a última parte, onde tivemos que realmente remixar um modelo 3D existente .penso esta parte do vídeo professor deveria ter um olhar em profundidade a forma de usar o app.Nevertheless 3D o curso foi bom eu aprendi um monte de coisas novas e não dar nenhum spoiler ..... vale a pena.",2
161,161,Uma boa Introdução à impressão 3D.,2
162,162,Grandes informações sobre a impressão 3D. Ele ajuda você a entender o que é o actual âmbito de aplicação desta tecnologia e como você pode começar.,2
163,163,"Eu realmente não se preocupam com as histórias dos estudantes ou ver o espaço para toda uma vídeo conferência. É claro que Ultimaker é o patrocinador, mas parecia um comercial. Eu quero aprender mais.",0
164,164,É fantástico,2
165,165,grande classe,2
166,166,"Este primeiro curso foi uma excelente visão geral do campo. Fácil de seguir e trouxe tudo em ""perspectiva"". Aguardando ansiosamente para o próximo curso.",2
167,167,Excelente campo! introdução muito completa e só atingiu o pico a minha curiosidade para ir mais longe na compreensão desta tecnologia poderosa!,2
168,168,"O curso foi ótimo! Eu acho que é um grande ponto para começar em impressão 3D, que tem grande quantidade de informações, links, entrevistas e fácil de entender. Mantenha o bom trabalho!!!",2
169,169,Muito útil para a compreensão dos conceitos básicos de tecnologia de impressão 3D.,2
170,170,"Este é um curso fantástico, mesmo se você nunca antes ouviu falar de impressão 3D ou você estiver usando uma impressora 3D por um tempo, e eu recomendo para qualquer pessoa interessada em tecnologia ou vídeos futuristas concepts.The neste curso são muito empolgante. Há uma infinidade de entrevistas com pessoas que estão envolvidas com a indústria de impressão 3D, que discutem temas específicos em impressão 3D, e cada oferta os seus pontos de vista sobre o futuro da impressão 3D. Todas as diferentes opiniões e perspectivas realmente me ajudou a compreender a importância de 3D imprimir tanto uma indústria e nível do consumidor. Considerando que este é um curso introdutório, é muito completo, e consolida e resume as informações que possam levá-lo idades de recolher fora da internet. Mesmo que eu tivesse uma impressora 3D antes de eu tomou este curso, eu aprendi muito!",2
171,171,Muito boa introdução para o 3D impresso.,2
172,172,"Eu gostei desta classe muito. Todo o conteúdo era muito fácil de entender e seguir. Eu amo o fato de que eu posso pegar os materiais no meu telefone ou mesa através do app! É muito conveniente. Antes desta classe Eu não tinha idéia de impressão 3D tinha sido em torno de tanto tempo, eu pensei que era alguém mais novo, é incrível ver todas as diferentes aplicações que podem ser usadas para.",2
173,173,Não é um curso ... Isto é uma introdução geral muito curto para impressão 3D,0
174,174,"Olá! Meu nome é Ahmed do Egito, estou 3D Hubs Mayor. Eu acho que é o primeiro curso na internet que lhe dará a oportunidade de conhecer um monte de coisas sobre a impressão 3D portanto, fique atento e se agora se você está interessado em printing.Cheers 3D,",2
175,175,Esta é uma ótima introdução para a impressão 3D eo movimento criador. Coisas que eu pensava que sabia foram corrigidos e os recursos que eu nunca soube foram introduzidas. muito recordar,2
176,176,"Boa informação, mas muito curta para o que encargos Coursera.",1
177,177,Praticamente orientado e brilhantemente organizada!,2
178,178,Foi um curso introdutório perfeito para aqueles que realmente querem aprender alguma coisa sobre 3D Printing. Eu amei..,2
179,179,"Melhor lugar para obter-se up-to-date com o ""state-of-the-art"" em impressão 3D. Eu realmente gostei secção 'Os revolucionários' onde você começa a exposição a todas as ideias inter-disciplinares flutuando na paisagem impressão 3D.",2
180,180,"Obrigado por este curso, curso muito bom.",2
181,181,"Estou muito contente de ver cursos como este em Coursera. O curso em si é bem estruturado e contém uma série de informações úteis e que é exatamente o que eu precisava em um place.My única reclamação é o preço do curso - eu acho que é um pouco caro, especialmente para esta primeira parte da especialização - é um curso de duas semanas de introdução com um monte de publicidade ... £ 40..common..are está falando sério ?? Um monte de gente vai comprar pessoais 3D impressoras ou kits após o curso, alguns deles vão tomar a decisão de comprar uma impressora 3D para uma empresa em que trabalham (como eu), Fusion 360 assinaturas etc. Estas empresas devem patrocinar tais cursos para torná-los mais acessíveis - é sua interest.I fez vários cursos sobre Coursera já (Engenharia Mecânica e Elétrica), eles tinham de 5 a 8 semanas e composta por um monte de trabalho bastante difícil de mentores e estudantes e foram apenas £ 32 para o certificado. Eu gosto da idéia de esta especialização, mas eu não decidiu pagar para o certificado por causa de seu preço. Embora eu estou muito feliz de ter acesso aos cursos e eu agradeço por você esforço!",2
182,182,Este é realmente um grande curso introdutório sobre a impressão 3D. Eu era completamente novo para o assunto e em apenas dois módulos curtos ambas as técnicas básicas e algumas aplicações modernas do dia foram explicadas em um manner.I muito claro e envolvente também estava realmente interessado em aprender sobre os exemplos de negócios que fizeram uso dessas novas tecnologias .Recommended para quem está interessado em técnicas novas e excitantes!,2
183,183,Grande esforço! Agora você pode aprender sobre a tecnologia de impressão 3D em seu próprio lugar.,2
184,184,Um excelente curso. Eu só desejo que a parte em métricas não financeiras incluiu alguns exemplos ou visão de como melhor quantificar métricas não financeiras na afazeres,2
185,185,"semana 1 e 2 foram tipo de chato, mas talvez necessário; semanas 3 e 4 eram mais interessante do ponto de vista do negócio (eu não estou muito interessado em contabilidade como em decisões de negócios) .A classe virtual do Professor Bushee foi bastante engraçado :)",2
186,186,"Excelente campo, 3 primeiras semanas foram muito técnico, mas altamente informativa. Um pouco de conhecimento de contabilidade é necessária para entender o trabalho. Última semana de aulas eram mais simples e intuitiva de entender, mas no geral, um módulo muito perspicaz",2
187,187,"Primeiro de tudo, eu realmente gostei apresentações do Professor Ittner. Infelizmente, sua apresentação foi de apenas 25% do curso. Professor Ittner foi muito direta, mas também era muito interessante na forma como ele fez seu conteúdo. Eu tive um sentimento bom que eu poderia realmente entender o material que ele estava ensinando. Se eu pudesse dar uma classificação por apenas Professor Ittner, eu daria uma classificação de 5 estrelas. Agora, é por isso que eu estou dando este curso uma classificação de 1 estrela. Mas eu tenho que dizer, indo para as profundezas da Contabilidade Analítica não é fácil. Você realmente precisa ter uma boa compreensão da Contabilidade caso contrário você vai se perder. Professor Bushee não fez as primeiras 3 semanas realmente fácil de passar. Enquanto eu gostei seus exemplos e estudos de caso, ele simplesmente não fez um grande trabalho de realmente explicar e ilustrar os conceitos que ele estava ensinando. E o pior de tudo, ele configurar uma sala de aula digitalmente gerado onde teve seu gerados por computador estudantes fazem perguntas inúteis, fazer declarações inúteis, ou resposta com inúteis declarações / respostas. Eu realmente gostaria de ter o tempo para analisar o quanto o tempo é claro que ele passou fazendo isso, eu estimaria que é em torno de 10%, mas poderia muito bem ser maior. Há tantos exemplos diferentes para escolher forma, mas eu só vou pegar um pouco aqui. ""Eu não li a Ilíada ou Odisseia alguns eu não vou pedir-lhe para"", em referência porque em regressão há letra grega usada para coeficientes (que é uma suposição justa que alguém tomar esta classe compreende coeficientes), a 30 segundo troca de onde um PC gerar estudante diz que eles estão ""estocados"" para executar alguma regressão seguido por Proffessor Bushee nos informando que ""estamos indo para executar algumas regressões Narly"", Professor Bushee dizendo que ele não sabe como executar Ganhar Gestão análise em Marte, mas ele certamente sabe como fazê-lo na Terra, e uma piada por que as pessoas não gostam de contadores. Estes segmentos agregar valor absolutamente zero. Eles prolongar o tempo do curso. Para fazer maters pior, eu tenho certeza que Proffessor Bushee teve que gastar ainda mais tempo a criação deste conjunto de interação adicional.",0
188,188,Este é o primeiro curso de Inglês eu tenho taken.Though no começo era tipo de dificuldade por causa da linguagem (especialmente os termos) e conhecimentos profissão (é um curso abrangente e ainda estou cursos em questão na escola de aprendizagem) o curso é realmente vale a pena levando. Eu tenho aprendido muito .e ele estimula o meu interesse em contabilidade.,2
189,189,Obrigado pela ajuda.,2
190,190,"Foi rápido, mas forneceu uma boa visão. Eu gostaria alguns casos para trabalhar e aplicar os métodos para.",2
191,191,Fornecendo o que são as informações de que precisamos de olhar antes de investir em uma empresa e como interpretar o balanço e encontrou o,2
192,192,Sem learnd conhecimento prático e há exemplos claros de tópicos. Demasiado complexo todo o curso,0
193,193,"O curso em si é bom. No entanto, ele diz que ele não exige qualquer experiência anterior ... Mas há realmente experiência necessária nas demonstrações financeiras e conceitos.",1
194,194,"Muito bom curso, mas vídeos, por vezes, demasiado longo",2
195,195,Um curso fantástico,2
